name,type,value,date
MH-BYGTSG-2F-05,1,102.2,08:19
MH-HJKXL-1F-05,2,81.4,08:19
MH-XSY-2F-205,3,55.4,08:19
MH-XXY-2F-213,4,51.2,08:19
MH-CLB-3F-311,5,43.6,08:19
MH-XXY-5F-507,6,42.2,08:19
MH-WX-1F-108,7,40.6,08:19
MH-FXCSZX-3-1F-03,8,39.6,08:19
MH-BYGTSG-2F-03,9,39.4,08:19
MH-CLA-5F-502-1,10,38.6,08:19
MH-WLL-Z-10F-03,1,118.4,08:20
MH-MLL-5F-A504-1,2,103.6,08:20
MH-YX-4A223,3,70.4,08:20
MH-XZY-1F-113,4,58.2,08:20
MH-GCLXSYZX-5F-05,5,49.6,08:20
MH-MLL-5F-A506-2,6,48.8,08:20
MH-WX-5F-514,7,48.6,08:20
MH-FXCSZX-3-1F-03,8,42.4,08:20
MH-XXY-2F-203,9,41.6,08:20
MH-LZDTSG-2F-06,10,34.6,08:20
MH-FC1-3F-310-1,1,284.4,08:21
MH-BYGTSG-2F-04,2,180.2,08:21
MH-FC2-4F-403,3,135.6,08:21
MH-BYGTSG-2F-02,4,80.4,08:21
MH-WX-4F-415,5,78.6,08:21
MH-MLL-7F-A712,6,59.2,08:21
MH-MLL-3F-A309,7,55.8,08:21
MH-YX1-2F-XSBG,8,51.6,08:21
MH-XXY-3F-313,9,47.4,08:21
MH-XZY-1F-115,10,44.8,08:21
MH-MLL-7F-A702,1,155.8,08:22
MH-HJL-2F-204-2,2,45.6,08:22
MH-LXZL-3F-304,3,39.8,08:22
MH-MHKFT-1F-01,4,23.2,08:22
MH-CLF-4F-413,5,17.6,08:22
MH-XXY-4F-412,6,17.0,08:22
MH-LZDTSG-2F-05,7,11.4,08:22
MH-YX1-2F-XSBG,8,7.8,08:22
MH-WX-5F-516,9,7.6,08:22
MH-D6CY-1F-03,10,6.4,08:22
MH-MLL-7F-A702,1,155.0,08:23
MH-CLA-5F-502-1,2,110.2,08:23
MH-MLL-9F-A908,3,93.4,08:23
MH-HX-A-5F-544,4,61.8,08:23
MH-CLB-5F-507,5,60.2,08:23
MH-HJKXL-1F-05,6,55.6,08:23
MH-YXL-1-2F-04,7,43.4,08:23
MH-XSY-1F-111,8,41.0,08:23
MH-XZY-1F-113,9,33.0,08:23
MH-YX2-2F-2-207,10,31.8,08:23
MH-WZL-1F-01,1,91.2,08:24
MH-YX3-3F-319,2,88.0,08:24
MH-CLB-2F-206,3,77.6,08:24
MH-HKY-2F-211,4,69.8,08:24
MH-MLL-5F-B522,5,68.6,08:24
MH-YX1-1F-101,6,56.8,08:24
MH-YX3-5F-521,7,49.4,08:24
MH-BYGTSG-2F-04,8,43.2,08:24
MH-MHKFT-1F-01,9,41.0,08:24
MH-XXY-2F-203,10,40.6,08:24
MH-YX7-3F-303,1,105.6,08:25
MH-NS2-5F-0-508-1,2,66.2,08:25
MH-BYGTSG-2F-05,3,44.8,08:25
MH-XSY-1F-111,4,41.6,08:25
MH-LZDTSG-2F-06,5,40.6,08:25
MH-BYGTSG-4F-05,6,38.4,08:25
MH-XSY-2F-215,7,37.8,08:25
MH-FC2-3F-313,8,34.6,08:25
MH-YX7-4F-401,9,33.8,08:25
MH-ZYXY-6F-06,10,33.2,08:25
MH-YX7-4F-401,1,168.8,08:26
MH-WX-1F-130,2,136.8,08:26
MH-YX3-4F-416,3,104.2,08:26
MH-HJL-3F-309,4,90.0,08:26
MH-HJL-2F-204-2,5,87.8,08:26
MH-GCLXSYZX-3F-02,6,77.4,08:26
MH-XXY-3F-307,7,70.0,08:26
MH-MLL-6F-B604,8,64.4,08:26
MH-XXY-5F-507,9,59.2,08:26
MH-FC1-5F-517,10,50.8,08:26
MH-STHJS-2F-211,1,143.0,08:27
MH-YX7-4F-401,2,121.0,08:27
MH-MLL-4F-A408,3,98.4,08:27
MH-BYGTSG-4F-05,4,88.4,08:27
MH-YX6-1F-107,5,87.2,08:27
MH-CLB-3F-304,6,75.8,08:27
MH-BYGTSG-2F-05,7,74.6,08:27
MH-HX-A-1F-111,8,48.4,08:27
MH-ZYXY-6F-06,9,40.0,08:27
MH-HKY-4F-A418,10,34.6,08:27
MH-CLB-3F-311,1,160.2,08:28
MH-BYGSXX-3F-01,2,141.4,08:28
MH-MLL-6F-A601,3,94.0,08:28
MH-GCLXSYZX-5F-04,4,93.0,08:28
MH-WX-4F-415,5,84.8,08:28
MH-YX1-2F-XSBG,6,62.0,08:28
MH-YX7-4F-401,7,59.8,08:28
MH-GCXLZX-SYL-2F-01,8,54.0,08:28
MH-MLL-10F-A1021,9,37.2,08:28
MH-BYGTSG-1F-03,10,34.8,08:28
MH-MLL-4F-A408,1,167.4,08:29
MH-CLB-3F-311,2,156.0,08:29
MH-HX-A-5F-544,3,113.6,08:29
MH-NS2-2F-212,4,105.0,08:29
MH-YXL-6-1F-01,5,71.8,08:29
MH-STHJS-1F-1,6,67.0,08:29
MH-YX7-4F-401,7,65.0,08:29
MH-CLA-5F-502-1,8,62.8,08:29
MH-MLL-5F-A506-2,9,58.6,08:29
MH-XZY-1F-115,10,50.0,08:29
MH-FC2-4F-402,1,151.0,08:30
MH-NS2-2F-212,2,104.4,08:30
MH-LZDTSG-2F-06,3,81.6,08:30
MH-LXZL-3F-302,4,54.8,08:30
MH-MLL-3F-B315,5,49.4,08:30
MH-BYGTSG-3F-05,6,41.8,08:30
MH-YX3-4F-412,7,40.6,08:30
MH-XXY-1F-105,8,40.0,08:30
MH-HX-A-3F-308,9,36.8,08:30
MH-NS1-4F-417,10,35.4,08:30
MH-MLL-5F-A506-1,1,143.6,08:31
MH-NS2-3F-309,2,110.8,08:31
MH-CLD-4F-439,3,62.6,08:31
MH-WX-1F-130,4,42.8,08:31
MH-MLL-6F-A602,5,41.8,08:31
MH-FC1-4F-418,6,41.6,08:31
MH-XXY-3F-307,7,37.2,08:31
MH-XXY-3F-310,8,36.0,08:31
MH-XSY-1F-106,9,34.6,08:31
MH-CLA-3F-311,10,33.4,08:31
MH-NS2-2F-212,1,125.4,08:32
MH-YXL-6-1F-01,2,72.2,08:32
MH-CLA-4F-401-2,3,70.8,08:32
MH-CLB-3F-311,4,70.4,08:32
MH-YX7-3F-304,5,57.0,08:32
MH-MLL-5F-A504-1,6,57.0,08:32
MH-YX2-4F-2-413,7,52.6,08:32
MH-YX7-3F-303,8,50.0,08:32
MH-HX-A-2F-210,9,49.8,08:32
MH-YX-4A227,10,44.8,08:32
MH-YX7-4F-401,1,168.0,08:33
MH-ZYXY-6F-06,2,130.4,08:33
MH-GCXLZX-B-4F-01,3,125.4,08:33
MH-MLL-6F-A608,4,86.8,08:33
MH-CL-E-2F-02,5,79.2,08:33
MH-BYGTSG-1F-06,6,77.6,08:33
MH-CL-H-3F-311,7,76.4,08:33
MH-HJL-4F-407,8,68.2,08:33
MH-CLB-2F-206,9,62.4,08:33
MH-WZL-1F-01,10,56.4,08:33
MH-MLL-7F-A702,1,243.0,08:34
MH-LZDTSG-2F-06,2,136.2,08:34
MH-MLL-3F-B308,3,103.6,08:34
MH-GCLXSYZX-3F-03,4,84.0,08:34
MH-WZL-1F-01,5,82.6,08:34
MH-WX-1F-130,6,79.8,08:34
MH-YX7-4F-401,7,69.8,08:34
MH-CLA-5F-502-2,8,52.6,08:34
MH-WX-3F-309,9,44.2,08:34
MH-XXY-1F-106,10,42.6,08:34
MH-FC1-3F-305,1,139.4,08:35
MH-FC1-4F-418,2,105.6,08:35
MH-BYGSXX-3F-01,3,104.8,08:35
MH-HX-A-1F-108,4,85.8,08:35
MH-WX-5F-514,5,81.8,08:35
MH-YX3-2F-209,6,79.0,08:35
MH-YX1-2F-XSBG,7,67.0,08:35
MH-YX5-4F-403,8,65.8,08:35
MH-HX-A-3F-301,9,50.4,08:35
MH-MLL-7F-A702,10,47.2,08:35
MH-WX-3F-309,1,143.6,08:36
MH-XSY-1F-111,2,39.0,08:36
MH-BYGTSG-1F-07,3,36.8,08:36
MH-LWLZX-2F-02,4,36.2,08:36
MH-HX-A-4F-402,5,35.6,08:36
MH-CLA-1F-1001,6,35.0,08:36
MH-BYGTSG-1F-06,7,34.8,08:36
MH-CLA-4F-4006,8,34.8,08:36
MH-NS3-1F-109,9,33.2,08:36
MH-YX4B-4B211,10,32.4,08:36
MH-CLE-2F-203,1,144.8,08:37
MH-HX-A-1F-108,2,115.2,08:37
MH-YX7-2F-205,3,77.6,08:37
MH-FC2-5F-510,4,67.6,08:37
MH-XXY-5F-507,5,64.2,08:37
MH-FC1-5F-518,6,58.4,08:37
MH-CLB-3F-305,7,58.0,08:37
MH-YX7-4F-401,8,55.8,08:37
MH-LZDTSG-2F-01,9,52.2,08:37
MH-XXY-3F-307,10,40.4,08:37
MH-MLL-5F-A506-2,1,145.0,08:38
MH-FC1-4F-418,2,145.0,08:38
MH-LXZL-2F-204,3,95.2,08:38
MH-FXCSZX-2-4F-02,4,64.6,08:38
MH-STHJS-2F-211,5,43.2,08:38
MH-MLL-6F-A601,6,42.4,08:38
MH-MLL-4F-B401,7,42.2,08:38
MH-CLF-2F-201,8,41.8,08:38
MH-LWLZX-2F-02,9,40.8,08:38
MH-MLL-10F-A1021,10,40.2,08:38
MH-YX7-4F-405,1,166.0,08:39
MH-FC1-5F-517,2,143.0,08:39
MH-LZDTSG-3F-02,3,130.0,08:39
MH-MLL-5F-A504-1,4,124.0,08:39
MH-YX7-3F-303,5,112.0,08:39
MH-YX1-1F-104,6,111.0,08:39
MH-BYGTSG-4F-03,7,110.6,08:39
MH-HJKXL-1F-05,8,103.4,08:39
MH-FC1-4F-418,9,89.0,08:39
MH-GCLXSYZX-3F-04,10,79.8,08:39
MH-YX7-5F-510,1,173.2,08:40
MH-LWLZX-2F-02,2,85.8,08:40
MH-MLL-6F-A601,3,73.4,08:40
MH-XSY-1F-106,4,73.4,08:40
MH-YX3-4F-416,5,66.0,08:40
MH-LZDTSG-3F-02,6,47.8,08:40
MH-GCLXSYZX-3F-02,7,43.4,08:40
MH-XZY-1F-113,8,41.4,08:40
MH-HJKXL-2F-08,9,41.4,08:40
MH-YX2-1F-2-114,10,39.8,08:40
MH-YX7-5F-510,1,173.0,08:41
MH-CLB-3F-311,2,171.8,08:41
MH-LZDTSG-2F-06,3,156.4,08:41
MH-STHJS-2F-205,4,152.4,08:41
MH-LZDTSG-1F-01,5,93.0,08:41
MH-MLL-2F-A201,6,86.4,08:41
MH-HJKXL-1F-05,7,83.6,08:41
MH-MLL-6F-A603,8,76.6,08:41
MH-HKY-4F-408,9,74.4,08:41
MH-CLA-5F-502-1,10,63.6,08:41
MH-NS1-2F-217,1,163.0,08:42
MH-MLL-6F-A601,2,145.0,08:42
MH-FC1-4F-418,3,132.4,08:42
MH-GCLXSYZX-5F-01,4,111.4,08:42
MH-STHJS-2F-211,5,97.2,08:42
MH-FC2-2F-211,6,91.4,08:42
MH-BYGTSG-4F-04,7,62.4,08:42
MH-LZDTSG-2F-06,8,59.6,08:42
MH-MLL-5F-A504-1,9,59.2,08:42
MH-ZYXY-6F-06,10,56.8,08:42
MH-YX7-5F-510,1,163.6,08:43
MH-LZDTSG-3F-02,2,77.4,08:43
MH-BYGTSG-1F-06,3,75.4,08:43
MH-NS1-1F-101-2,4,55.6,08:43
MH-LWLZX-2F-02,5,51.4,08:43
MH-MLL-6F-B604,6,49.8,08:43
MH-BYGTSG-3F-05,7,42.8,08:43
MH-YX7-4F-405,8,40.8,08:43
MH-STHJS-2F-211,9,39.4,08:43
MH-XZY-1F-112,10,37.4,08:43
MH-NS1-2F-217,1,246.8,08:44
MH-WX-4F-415,2,176.0,08:44
MH-MLL-3F-A301,3,165.0,08:44
MH-MLL-8F-A804,4,145.4,08:44
MH-WX-3F-309,5,144.6,08:44
MH-HJKXL-1F-05,6,131.6,08:44
MH-MLL-4F-B401,7,127.2,08:44
MH-LWLZX-1F-02,8,116.6,08:44
MH-NS3-5F-0-506,9,115.8,08:44
MH-NS2-3F-309,10,109.0,08:44
MH-YX7-4F-405,1,96.2,08:45
MH-FC1-4F-418,2,82.8,08:45
MH-YX2-4F-2-413,3,78.6,08:45
MH-WX-1F-108,4,76.0,08:45
MH-CLB-2F-206,5,55.6,08:45
MH-YX3-2F-207,6,41.6,08:45
MH-NS3-2F-223,7,38.4,08:45
MH-XXY-2F-205,8,36.6,08:45
MH-YX1-1F-101,9,35.4,08:45
MH-JJC-2F-212,10,34.8,08:45
MH-CL-E-3F-01,1,254.8,08:46
MH-CLA-4F-402-1,2,186.0,08:46
MH-YX7-4F-405,3,165.8,08:46
MH-FC2-2F-211,4,160.6,08:46
MH-YX7-5F-510,5,133.4,08:46
MH-LZDTSG-2F-05,6,108.2,08:46
MH-WX-5F-514,7,101.0,08:46
MH-FC2-5F-511,8,92.6,08:46
MH-FC1-4F-418,9,75.2,08:46
MH-CLD-5F-520,10,70.0,08:46
MH-YX7-4F-405,1,197.0,08:47
MH-NS1-4F-XXS,2,180.6,08:47
MH-MLL-6F-A606,3,112.8,08:47
MH-YX7-5F-507,4,110.2,08:47
MH-WX-1F-130,5,101.6,08:47
MH-BYGTSG-2F-05,6,96.8,08:47
MH-BYGSXX-3F-01,7,93.2,08:47
MH-YX-4A221,8,88.6,08:47
MH-NS3-3F-0-304,9,56.0,08:47
MH-LZDTSG-3F-01,10,54.8,08:47
MH-NS1-1F-101-2,1,315.4,08:48
MH-NS1-2F-217,2,164.8,08:48
MH-NS2-5F-0-508-1,3,126.8,08:48
MH-FXCSZX-3-2F-04,4,98.2,08:48
MH-GCLXSYZX-4F-01,5,80.8,08:48
MH-YX5-4F-403,6,63.0,08:48
MH-JZG-1F-Hall-10,7,62.6,08:48
MH-LXZL-2F-202,8,54.0,08:48
MH-XZY-4F-412,9,44.0,08:48
MH-CL-H-2F-211,10,43.2,08:48
MH-LZDTSG-3F-10,1,118.6,08:49
MH-WX-3F-304,2,88.4,08:49
MH-MLL-6F-B604,3,79.2,08:49
MH-XZY-4F-412,4,77.2,08:49
MH-CLA-4F-401-2,5,74.4,08:49
MH-CLB-4F-411,6,60.4,08:49
MH-HX-A-5F-515,7,45.2,08:49
MH-MLL-5F-B508,8,40.8,08:49
MH-NS2-2F-212,9,39.6,08:49
MH-YX7-5F-507,10,38.4,08:49
MH-YX1-2F-XSBG,1,229.8,08:50
MH-JGDLZ-2F-203,2,131.0,08:50
MH-HKY-1F-102,3,127.6,08:50
MH-STHJS-2F-205,4,124.0,08:50
MH-BYGSXX-3F-01,5,97.2,08:50
MH-FC1-5F-518,6,63.0,08:50
XH-XSY-1F-S103-2,7,51.2,08:50
MH-HKY-4F-414,8,45.8,08:50
MH-CLB-4F-411,9,45.6,08:50
MH-NS3-1F-103-1,10,45.4,08:50
MH-MLL-4F-B404,1,152.0,08:51
MH-ZYXY-5F-01,2,119.4,08:51
MH-STHJS-2F-205,3,117.0,08:51
MH-GCLXSYZX-3F-03,4,111.4,08:51
MH-GCLXSYZX-5F-01,5,103.6,08:51
MH-YX7-2F-205,6,99.4,08:51
MH-GCLXSYZX-5F-04,7,99.0,08:51
MH-FC2-1F-103,8,85.2,08:51
MH-CLD-4F-439,9,51.4,08:51
MH-LWLZX-1F-04,10,48.4,08:51
MH-WX-4F-417-1,1,276.0,08:52
MH-GCLXSYZX-4F-01,2,153.4,08:52
MH-WX-1F-126,3,86.2,08:52
MH-FC2-1F-107-2,4,69.6,08:52
MH-YX1-1F-101,5,68.8,08:52
MH-FC1-4F-402,6,68.6,08:52
MH-NS1-2F-217,7,66.6,08:52
MH-HX-A-5F-544,8,65.6,08:52
MH-WX-4F-411,9,54.6,08:52
MH-LZDTSG-4F-12,10,53.0,08:52
MH-WX-4F-417-2,1,143.4,08:53
MH-WX-5F-505-2,2,130.0,08:53
MH-GCLXSYZX-3F-03,3,120.0,08:53
MH-CLF-4F-417,4,117.2,08:53
MH-LZDTSG-2F-06,5,113.2,08:53
MH-CLD-4F-439,6,82.4,08:53
MH-MLL-6F-A602,7,55.2,08:53
MH-HJL-4F-417,8,51.4,08:53
MH-ZYXY-6F-06,9,50.8,08:53
MH-YX1-1F-101,10,45.4,08:53
MH-CLB-2F-206,1,150.2,08:54
MH-NS2-5F-0-508-1,2,144.2,08:54
MH-CLF-2F-203,3,130.2,08:54
MH-FC2-2F-211,4,83.0,08:54
MH-SD-1F-S101,5,80.8,08:54
MH-LZDTSG-3F-09,6,78.6,08:54
MH-BYGTSG-4F-05,7,61.8,08:54
MH-FC1-4F-418,8,59.8,08:54
MH-YX2-5F-2-509,9,59.6,08:54
MH-XXY-1F-105,10,57.0,08:54
MH-JGDLZ-2F-203,1,184.8,08:55
MH-GCLXSYZX-4F-01,2,149.6,08:55
MH-WX-2F-201,3,129.4,08:55
MH-MLL-4F-A402,4,119.6,08:55
MH-FC2-1F-103,5,100.0,08:55
MH-GCLXSYZX-5F-04,6,86.0,08:55
