name,type,value,date
MH-YX7-5F-510,5,47.0,09:20
XH-XSY-4F-S406C,6,44.0,09:20
MH-XZY-1F-105,7,27.5,09:20
MH-YX2-2F-2-206,8,27.5,09:20
MH-BYGTSG-1F-07,9,23.0,09:20
MH-NS2-2F-212,10,21.0,09:20
MH-MLL-6F-A606,1,115.5,09:21
MH-LZDTSG-2F-05,2,24.5,09:21
MH-D4CY-2F-01,3,18.5,09:21
MH-ZYXY-5F-01,4,18.0,09:21
MH-GMTYC-4F-01,5,10.0,09:21
MH-WX-3F-309,6,10.0,09:21
MH-BYGTSG-2F-03,7,7.0,09:21
MH-HLGC-3,8,7.0,09:21
MH-LXZL-4F-410,9,7.0,09:21
MH-LZDTSG-3F-10,10,6.0,09:21
MH-CLA-3F-313-2,1,82.5,09:22
MH-GCLXSYZX-4F-06,2,53.0,09:22
MH-BYGSXX-3F-01,3,52.5,09:22
MH-CLE-2F-205,4,47.0,09:22
MH-MLXY-S-BGT-02,5,32.0,09:22
MH-CL-A-3F-311,6,29.5,09:22
MH-MLL-9F-A904,7,24.0,09:22
MH-MLL-6F-A606,8,23.0,09:22
MH-ZYXY-5F-01,9,17.5,09:22
MH-XNTYG-44#-OUT,10,16.0,09:22
MH-YX-4A225,1,144.0,09:23
MH-GCLXSYZX-3F-02,2,75.5,09:23
MH-LZDTSG-2F-06,3,68.5,09:23
MH-BYGTSG-4F-03,4,55.0,09:23
MH-XZY-1F-113,5,55.0,09:23
MH-MHKFT-1F-01,6,25.0,09:23
MH-GCLXSYZX-9#-OUT,7,25.0,09:23
MH-GMTYC-4F-02,8,15.5,09:23
MH-MLXY-S-BGT-01,9,12.5,09:23
MH-BYGTSG-2F-05,10,12.5,09:23
MH-WX-1F-128,1,171.5,09:24
MH-BYGTSG-1F-07,2,103.0,09:24
MH-LZDTSG-2F-05,3,82.5,09:24
MH-MLL-5F-A506-1,4,71.0,09:24
MH-YX3-5F-521,5,68.5,09:24
MH-FC2-5F-510,6,53.5,09:24
MH-HJL-4F-417,7,50.5,09:24
MH-BYGTSG-4F-03,8,34.0,09:24
MH-MLL-7F-A702,9,30.0,09:24
MH-YX5-2F-201,10,24.5,09:24
MH-GCLXSYZX-4F-02,1,85.0,09:25
MH-MLL-2F-A202,2,73.5,09:25
MH-XTYG-2F-203-2,3,22.0,09:25
MH-LZDTSG-3F-01,4,12.0,09:25
MH-GMTYC-1F-09,5,11.5,09:25
MH-XZY-1F-114,6,10.5,09:25
MH-XTYG-1F-105,7,10.5,09:25
MH-CRQ-5F-507-2,8,9.5,09:25
MH-student-W45-15#-OUT,9,9.0,09:25
MH-MLXY-S-BGT-01,10,7.5,09:25
MH-WX-5F-505-2,1,127.0,09:26
MH-BYGTSG-4F-02,2,85.0,09:26
MH-D4CY-2F-01,3,19.5,09:26
MH-YYG-1F-01,4,18.5,09:26
MH-XSHDZX-2F-ZouLang-03,5,15.5,09:26
MH-GMTYC-4F-01,6,15.0,09:26
MH-X49-student-14#-OUT,7,15.0,09:26
MH-HLGC-1F-02,8,12.5,09:26
MH-YX7-5F-501,9,11.0,09:26
MH-JJT-42#-OUT,10,9.5,09:26
MH-BYGTSG-4F-04,1,186.5,09:27
MH-MLL-5F-B531,2,141.5,09:27
MH-CLB-4F-405,3,107.5,09:27
MH-CLB-3F-304,4,39.5,09:27
MH-JJT-42#-OUT,5,26.0,09:27
MH-GCLXSYZX-4F-02,6,25.0,09:27
MH-CLD-3F-316,7,17.0,09:27
MH-XTYG-CYL-54#-OUT,8,14.0,09:27
MH-D1CY-1F-16,9,10.0,09:27
MH-XNTYG-2F-01,10,8.5,09:27
MH-HKY-4F-401,1,154.0,09:28
MH-YX3-1F-103,2,75.0,09:28
MH-ZYXY-5F-01,3,56.0,09:28
MH-LZDTSG-2F-02,4,35.5,09:28
MH-GCLXSYZX-5F-05,5,31.0,09:28
XH-XSY-1F-S103-1,6,27.5,09:28
MH-YX1-2F-XSBG,7,20.0,09:28
MH-D4CY-2F-01,8,9.0,09:28
MH-GCLXSYZX-4F-06,9,5.5,09:28
MH-XNTYG-2F-03,10,5.5,09:28
MH-BYGTSG-2F-03,1,318.5,09:29
MH-MLL-10F-A1008,2,181.0,09:29
MH-LZDTSG-3F-10,3,166.5,09:29
MH-MLL-4F-A408,4,159.5,09:29
MH-XSY-1F-108,5,136.5,09:29
MH-XZY-1F-115,6,131.0,09:29
MH-CLB-2F-210,7,121.0,09:29
MH-LZDTSG-3F-02,8,93.0,09:29
MH-BYGTSG-3F-04,9,69.0,09:29
MH-YX7-5F-510,10,65.0,09:29
MH-CLB-2F-206,1,111.0,09:30
MH-YX5-3F-314,2,106.0,09:30
MH-LZDTSG-3F-01,3,89.5,09:30
MH-XTYG-CYL-54#-OUT,4,29.5,09:30
MH-XTYG-3F-YMQC-1,5,18.5,09:30
MH-BYGSXX-3F-01,6,1.0,09:30
MH-BYGTSG-1F-01,7,1.0,09:30
MH-student-W45-15#-OUT,8,1.0,09:30
MH-MLXY-S-BGT-01,9,1.0,09:30
MH-JJT-42#-OUT,10,1.0,09:30
MH-BYGSXX-3F-01,1,420.5,09:31
MH-CLE-2F-203,2,224.5,09:31
MH-YX5-3F-314,3,90.0,09:31
MH-LZDTSG-3F-01,4,89.0,09:31
MH-YX2-4F-2-413,5,78.0,09:31
MH-LZDTSG-2F-06,6,64.0,09:31
MH-BYGTSG-4F-05,7,34.5,09:31
MH-BYGTSG-3F-02,8,9.5,09:31
MH-XTYG-CYL-54#-OUT,9,8.0,09:31
MH-HJKXL-2F-08,10,7.5,09:31
MH-YX5-3F-314,1,188.0,09:32
MH-BYGTSG-1F-07,2,103.5,09:32
MH-JGDLZ-3F-Conference-Room,3,37.0,09:32
MH-LZDTSG-3F-02,4,34.0,09:32
MH-BYGTSG-3F-02,5,23.5,09:32
MH-MLL-9F-A906-2,6,19.5,09:32
MH-XTYG-CYL-54#-OUT,7,13.5,09:32
MH-D1CY-1F-16,8,9.0,09:32
MH-D4CY-2F-01,9,8.5,09:32
MH-X49-student-14#-OUT,10,3.5,09:32
MH-NS3-3F-303,1,140.5,09:33
MH-BYGTSG-2F-05,2,100.5,09:33
MH-MHKFT-1F-01,3,98.0,09:33
XH-XSY-1F-S101-2,4,90.0,09:33
MH-LZDTSG-3F-01,5,77.5,09:33
MH-LZDTSG-2F-06,6,76.5,09:33
MH-HX-A-4F-402,7,42.5,09:33
MH-CLF-4F-406,8,41.5,09:33
MH-HX-A-1F-108,9,36.0,09:33
MH-GM-2F-203,10,32.5,09:33
MH-MLL-7F-A704,1,211.0,09:34
MH-FC2-3F-318-1,2,43.0,09:34
MH-BYGTSG-4F-04,3,38.0,09:34
MH-MLL-3F-B308,4,29.5,09:34
MH-WX-1F-130,5,25.5,09:34
MH-XNTYG-44#-OUT,6,23.5,09:34
MH-LZDTSG-2F-05,7,21.0,09:34
MH-BYGTSG-3F-05,8,18.5,09:34
MH-XNTYG-2F-02,9,17.5,09:34
MH-MLL-9F-A906-1,10,16.5,09:34
MH-MLL-6F-A602,1,126.5,09:35
MH-BYGTSG-3F-01,2,83.0,09:35
MH-BYGTSG-1F-07,3,56.5,09:35
MH-BYGTSG-2F-02,4,36.5,09:35
MH-YX5-3F-314,5,28.0,09:35
MH-XZY-1F-105,6,23.5,09:35
MH-ZYXY-5F-01,7,16.5,09:35
MH-CLB-3F-305,8,16.5,09:35
MH-LZDTSG-2F-01,9,10.0,09:35
MH-D1CY-1F-15,10,10.0,09:35
MH-LZDTSG-2F-01,1,225.0,09:36
MH-CLA-4F-402-1,2,121.5,09:36
MH-CL-A-3F-311,3,84.0,09:36
MH-BYGTSG-3F-01,4,80.5,09:36
MH-BYGSXX-3F-01,5,75.0,09:36
MH-FC2-3F-318-2,6,56.5,09:36
MH-XZY-1F-111,7,56.0,09:36
MH-MLXY-N-BGT-01,8,53.5,09:36
MH-LWLZX-2F-02,9,51.5,09:36
MH-CLA-3F-313-2,10,34.5,09:36
MH-MLL-6F-A608,1,92.0,09:37
MH-CLA-3F-313-2,2,59.0,09:37
MH-CLF-2F-201,3,54.5,09:37
MH-MLL-9F-A906-1,4,54.0,09:37
MH-CL-C-3F-04,5,42.0,09:37
MH-XSY-1F-115,6,40.5,09:37
MH-XTYG-CYL-54#-OUT,7,22.0,09:37
MH-BYGTSG-3F-04,8,20.0,09:37
MH-MLL-7F-A712,9,19.0,09:37
MH-XSHDZX-2F-ZouLang-03,10,13.5,09:37
XH-XSY-1F-S103-1,1,133.5,09:38
MH-CLD-4F-439,2,107.0,09:38
MH-GCLXSYZX-4F-03,3,63.0,09:38
MH-YX2-1F-2-112,4,61.5,09:38
MH-ZYXY-5F-01,5,42.0,09:38
MH-HKY-4F-401,6,41.0,09:38
MH-LZDTSG-3F-04,7,39.5,09:38
MH-XSY-1F-108,8,36.0,09:38
MH-BYGTSG-4F-05,9,33.0,09:38
MH-MLL-6F-A608,10,30.0,09:38
MH-FC1-3F-310-1,1,169.5,09:39
MH-MLL-10F-A1008,2,93.5,09:39
MH-GCLXSYZX-2F-04,3,70.0,09:39
MH-NS3-1F-103-2,4,64.5,09:39
MH-WX-5F-503,5,57.5,09:39
MH-GCXLZX-SYL-2F-04,6,54.5,09:39
MH-CLB-2F-202,7,53.5,09:39
MH-BYGTSG-2F-05,8,47.0,09:39
MH-CLA-5F-502-1,9,46.5,09:39
MH-LZDTSG-3F-02,10,35.5,09:39
MH-CLA-5F-502-1,1,361.0,09:40
MH-LZDTSG-3F-03,2,68.5,09:40
MH-WX-3F-304,3,66.5,09:40
MH-CLA-5F-502-2,4,65.5,09:40
MH-MLL-4F-A408,5,37.0,09:40
MH-YX3-5F-521,6,36.5,09:40
MH-LZDTSG-3F-01,7,32.0,09:40
MH-MLL-6F-B604,8,13.5,09:40
MH-BYGTSG-1F-01,9,13.0,09:40
MH-LZDTSG-2F-06,10,12.5,09:40
MH-BYGSXX-3F-01,1,291.5,09:41
MH-CLA-5F-502-2,2,78.5,09:41
MH-BYGTSG-2F-03,3,62.0,09:41
MH-CL-H-3F-313,4,61.5,09:41
MH-BYGTSG-4F-04,5,34.5,09:41
MH-BYGTSG-1F-07,6,31.0,09:41
MH-CLB-3F-307,7,26.5,09:41
MH-GCLXSYZX-9#-OUT,8,17.0,09:41
MH-BYGTSG-3F-04,9,9.0,09:41
MH-BYGTSG-4F-05,10,6.5,09:41
MH-YX3-4F-407,1,73.0,09:42
MH-HX-A-5F-523,2,57.5,09:42
MH-BYGTSG-2F-02,3,19.5,09:42
MH-CLF-3F-302,4,17.5,09:42
MH-YX3-2F-214,5,14.5,09:42
MH-GCLXSYZX-2F-04,6,10.5,09:42
MH-XTYG-CYL-1F-03,7,9.5,09:42
MH-HLGC-1F-01,8,9.0,09:42
MH-SDL-2F-N201,9,8.5,09:42
MH-HLGC-1,10,8.5,09:42
MH-CL-E-2F-02,1,78.0,09:43
MH-MLL-9F-A908,2,67.0,09:43
MH-YX5-4F-414,3,52.0,09:43
MH-LWLZX-2F-02,4,51.5,09:43
MH-CLD-4F-439,5,46.0,09:43
MH-MLL-6F-B608,6,45.0,09:43
MH-GCLXSYZX-9#-OUT,7,43.5,09:43
MH-MLL-4F-B408,8,37.0,09:43
MH-YX2-5F-2-501,9,34.5,09:43
MH-MHKFT-1F-01,10,31.0,09:43
MH-HJKXL-2F-08,1,270.0,09:44
MH-JGDLZ-2F-210,2,109.5,09:44
MH-WX-3F-309,3,96.5,09:44
MH-NS1-1F-0-111,4,92.0,09:44
MH-MLL-4F-B406-1,5,78.0,09:44
MH-YX3-4F-407,6,77.0,09:44
MH-FC2-3F-312,7,68.0,09:44
MH-MLL-6F-A606,8,64.5,09:44
MH-GCLXSYZX-5F-02,9,59.5,09:44
MH-HX-A-5F-505,10,56.0,09:44
MH-CLE-2F-204-2,1,27.5,09:45
MH-MLL-4F-B406-1,2,18.0,09:45
MH-LZDTSG-2F-01,3,14.5,09:45
MH-D1CY-1F-16,4,6.5,09:45
MH-D1CY-1F-12,5,5.5,09:45
MH-XSHDZX-3F-ZouLang-03,6,4.0,09:45
MH-NS1-3F-307,7,2.5,09:45
MH-WX-3F-309,8,1.0,09:45
MH-BYGSXX-3F-01,9,1.0,09:45
MH-BYGTSG-1F-07,10,1.0,09:45
MH-GCLXSYZX-3F-02,1,237.5,09:46
MH-CLD-4F-410,2,95.5,09:46
MH-BYGTSG-1F-01,3,65.0,09:46
MH-LZDTSG-2F-03,4,65.0,09:46
MH-YX7-5F-507,5,61.0,09:46
MH-BYGTSG-3F-05,6,57.0,09:46
MH-HX-A-5F-535,7,46.5,09:46
MH-BYGTSG-3F-02,8,46.0,09:46
MH-YX3-4F-407,9,37.0,09:46
MH-BYGSXX-3F-01,10,35.5,09:46
MH-XTYG-CYL-54#-OUT,1,137.0,09:47
MH-MHKFT-1F-01,2,132.5,09:47
MH-BYGTSG-2F-03,3,71.0,09:47
MH-MLL-3F-B315,4,55.5,09:47
MH-FC2-3F-318-2,5,47.5,09:47
MH-YXL-7-5F-01,6,34.5,09:47
MH-XSY-1F-108,7,31.5,09:47
MH-BYGTSG-4F-03,8,28.5,09:47
MH-JJT-42#-OUT,9,19.0,09:47
MH-XZY-1F-115,10,11.0,09:47
MH-BYGSXX-3F-01,1,254.5,09:48
MH-MLL-4F-A408,2,220.5,09:48
MH-BYGTSG-4F-05,3,148.5,09:48
MH-LZDTSG-3F-02,4,60.0,09:48
MH-ZYXY-5F-01,5,57.0,09:48
MH-BYGTSG-4F-03,6,50.5,09:48
MH-BYGTSG-2F-03,7,46.5,09:48
MH-HKY-4F-401,8,43.0,09:48
MH-BYGTSG-3F-02,9,40.0,09:48
MH-GCXLZX-SYL-2F-03,10,39.0,09:48
MH-WX-4F-417-2,1,152.0,09:49
MH-YX3-3F-317,2,79.5,09:49
MH-BYGTSG-2F-03,3,77.0,09:49
MH-LZDTSG-2F-05,4,53.5,09:49
MH-ZYXY-5F-04,5,45.0,09:49
MH-LZDTSG-3F-02,6,42.0,09:49
MH-MLL-6F-A602,7,41.5,09:49
MH-YX7-3F-303,8,41.5,09:49
MH-LWLZX-1F-03,9,39.0,09:49
MH-CLC-3F-310,10,34.5,09:49
MH-LZDTSG-2F-01,1,216.5,09:50
MH-CLC-3F-301,2,130.5,09:50
MH-LZDTSG-3F-03,3,85.5,09:50
MH-MLL-10F-A1002,4,78.5,09:50
MH-XZY-1F-114,5,51.5,09:50
MH-CL-E-2F-02,6,45.5,09:50
MH-LZDTSG-3F-01,7,38.0,09:50
MH-BYGTSG-2F-04,8,28.5,09:50
MH-LZDTSG-2F-02,9,20.0,09:50
MH-ZYXY-5F-03,10,20.0,09:50
MH-BYGTSG-2F-03,1,290.5,09:51
MH-YX5-3F-314,2,102.5,09:51
MH-CLA-5F-502-2,3,94.5,09:51
MH-ZYXY-5F-01,4,63.0,09:51
MH-MLL-5F-A506-1,5,50.5,09:51
MH-MLL-4F-B406-1,6,42.0,09:51
MH-HX-A-4F-425,7,41.0,09:51
MH-YX1-1F-102,8,32.0,09:51
MH-BYGTSG-2F-05,9,25.0,09:51
MH-FC1-5F-518,10,19.0,09:51
MH-BYGTSG-2F-04,1,233.5,09:52
MH-CLB-2F-202,2,106.0,09:52
MH-HJKXL-2F-08,3,83.5,09:52
MH-MLL-3F-A303,4,41.0,09:52
MH-XTYG-CYL-54#-OUT,5,35.5,09:52
MH-LiuYuan-B1-01,6,26.0,09:52
MH-BYGTSG-1F-01,7,16.5,09:52
MH-LZDTSG-3F-02,8,16.0,09:52
MH-GCXLZX-SYL-2F-03,9,16.0,09:52
MH-ZYXY-5F-01,10,14.5,09:52
MH-MLL-6F-A602,1,215.0,09:53
MH-HX-A-4F-408,2,100.0,09:53
MH-BYGTSG-2F-05,3,93.0,09:53
MH-CLF-2F-201,4,88.0,09:53
MH-XZY-1F-113,5,78.0,09:53
MH-HX-A-4F-402,6,65.5,09:53
MH-BYGTSG-3F-01,7,63.5,09:53
MH-NS1-5F-0-507-1,8,53.5,09:53
MH-CLA-3F-313-1,9,52.0,09:53
MH-XTYG-CYL-54#-OUT,10,47.5,09:53
MH-ZYXY-5F-01,1,381.5,09:54
MH-BYGTSG-1F-01,2,65.0,09:54
MH-WX-4F-419,3,55.5,09:54
MH-BYGTSG-2F-03,4,44.0,09:54
MH-XZY-1F-106,5,37.0,09:54
MH-HJL-4F-417,6,35.5,09:54
MH-CL-E-3F-01,7,33.0,09:54
MH-LZDTSG-3F-02,8,32.5,09:54
MH-GCXLZX-SYL-2F-03,9,29.5,09:54
MH-NXSWXY-F2-1F-01,10,25.5,09:54
MH-HJL-4F-417,1,240.0,09:55
MH-MLL-5F-A506-1,2,228.0,09:55
MH-BYGTSG-4F-04,3,139.0,09:55
MH-CLC-3F-310,4,103.0,09:55
MH-BYGTSG-4F-03,5,101.0,09:55
MH-YX1-2F-203,6,76.0,09:55
MH-ZYXY-5F-01,7,68.5,09:55
MH-ZYXY-6F-01,8,57.0,09:55
MH-YYG-1F-01,9,56.5,09:55
MH-YX-4A227,10,49.5,09:55
MH-NSSXL-1F-112,1,172.5,09:56
MH-BYGTSG-2F-05,2,130.0,09:56
MH-XZY-2F-201,3,94.0,09:56
MH-LZDTSG-2F-06,4,74.0,09:56
MH-ZYXY-6F-01,5,56.5,09:56
MH-CLB-3F-313,6,46.5,09:56
MH-YYG-1F-01,7,31.0,09:56
MH-BYGTSG-1F-01,8,30.5,09:56
MH-YX-4A323B,9,28.0,09:56
MH-BYGTSG-3F-04,10,24.0,09:56
MH-CLF-2F-201,1,223.0,09:57
MH-XTYG-CYL-54#-OUT,2,109.0,09:57
MH-MLL-10F-A1002,3,73.5,09:57
MH-YYG-1F-06,4,48.5,09:57
MH-D1CY-1F-16,5,30.0,09:57
MH-XSY-1F-115,6,29.5,09:57
MH-BYGTSG-1F-03,7,22.5,09:57
